up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
CONDILLAC - UNIVERSITES,HUBERT DUBEDOUT - MAISON DU TOURISME,155.13125142979993,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,HUBERT DUBEDOUT - MAISON DU TOURISME,471.5599991018995,ALL,ALL,ALL,tram-b
GABRIEL FAURE,HUBERT DUBEDOUT - MAISON DU TOURISME,359.1262915600996,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,HUBERT DUBEDOUT - MAISON DU TOURISME,241.67907138489983,ALL,ALL,ALL,tram-b
GRAND SABLON,HUBERT DUBEDOUT - MAISON DU TOURISME,336.77083115039994,ALL,ALL,ALL,tram-b
MICHALLON,HUBERT DUBEDOUT - MAISON DU TOURISME,548.2178035959008,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,HUBERT DUBEDOUT - MAISON DU TOURISME,347.953840627,ALL,ALL,ALL,tram-b
ILE VERTE,HUBERT DUBEDOUT - MAISON DU TOURISME,392.67484221610016,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,HUBERT DUBEDOUT - MAISON DU TOURISME,387.6193541182,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,HUBERT DUBEDOUT - MAISON DU TOURISME,104.6520344068,ALL,ALL,ALL,tram-b
VICTOR HUGO,HUBERT DUBEDOUT - MAISON DU TOURISME,62.024263373999986,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,HUBERT DUBEDOUT - MAISON DU TOURISME,396.38538329500005,ALL,ALL,ALL,tram-b
GARES,HUBERT DUBEDOUT - MAISON DU TOURISME,167.7890161766001,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),HUBERT DUBEDOUT - MAISON DU TOURISME,175.38357151440005,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,HUBERT DUBEDOUT - MAISON DU TOURISME,214.06412846969997,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,HUBERT DUBEDOUT - MAISON DU TOURISME,347.29994963719986,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,HUBERT DUBEDOUT - MAISON DU TOURISME,168.17735353800015,ALL,ALL,ALL,tram-b
PRESQU'ILE,HUBERT DUBEDOUT - MAISON DU TOURISME,160.0671189082001,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,NOTRE-DAME - MUSEE,35.086587950500004,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),NOTRE-DAME - MUSEE,67.956886317,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,NOTRE-DAME - MUSEE,17.9616375319,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,NOTRE-DAME - MUSEE,145.27189946969997,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,NOTRE-DAME - MUSEE,298.2114282605002,ALL,ALL,ALL,tram-b
GABRIEL FAURE,NOTRE-DAME - MUSEE,141.33317895870005,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,NOTRE-DAME - MUSEE,294.9340118009,ALL,ALL,ALL,tram-b
GRAND SABLON,NOTRE-DAME - MUSEE,123.93011341350002,ALL,ALL,ALL,tram-b
MICHALLON,NOTRE-DAME - MUSEE,195.89376761479997,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,NOTRE-DAME - MUSEE,110.41206528599997,ALL,ALL,ALL,tram-b
ILE VERTE,NOTRE-DAME - MUSEE,80.9842176599,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,NOTRE-DAME - MUSEE,58.576485274899994,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,NOTRE-DAME - MUSEE,393.1638561726002,ALL,ALL,ALL,tram-b
VICTOR HUGO,NOTRE-DAME - MUSEE,167.14546817370004,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,NOTRE-DAME - MUSEE,387.92651807290025,ALL,ALL,ALL,tram-b
GARES,NOTRE-DAME - MUSEE,163.9377180912001,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),NOTRE-DAME - MUSEE,262.4737271796001,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,NOTRE-DAME - MUSEE,105.23452562549997,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,NOTRE-DAME - MUSEE,98.10223507439999,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,NOTRE-DAME - MUSEE,50.54410561070001,ALL,ALL,ALL,tram-b
PRESQU'ILE,NOTRE-DAME - MUSEE,50.3130038188,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),PLAINE DES SPORTS,31.654290038600003,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,PLAINE DES SPORTS,53.36280378,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,PLAINE DES SPORTS,121.30352610980002,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,PLAINE DES SPORTS,57.9584515562,ALL,ALL,ALL,tram-b
GABRIEL FAURE,PLAINE DES SPORTS,46.317674664900004,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,PLAINE DES SPORTS,32.330649855000004,ALL,ALL,ALL,tram-b
GRAND SABLON,PLAINE DES SPORTS,14.8483159888,ALL,ALL,ALL,tram-b
MICHALLON,PLAINE DES SPORTS,35.7770963342,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,PLAINE DES SPORTS,35.0249609572,ALL,ALL,ALL,tram-b
ILE VERTE,PLAINE DES SPORTS,42.6309092304,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,PLAINE DES SPORTS,48.9420369083,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,PLAINE DES SPORTS,86.00355177989998,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,PLAINE DES SPORTS,137.9944022334,ALL,ALL,ALL,tram-b
VICTOR HUGO,PLAINE DES SPORTS,65.79237877679999,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,PLAINE DES SPORTS,229.36598083000007,ALL,ALL,ALL,tram-b
GARES,PLAINE DES SPORTS,54.983868152700005,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),PLAINE DES SPORTS,67.2320531205,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,PLAINE DES SPORTS,23.7250938615,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,PLAINE DES SPORTS,18.5143769682,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,PLAINE DES SPORTS,0.0,ALL,ALL,ALL,tram-b
PRESQU'ILE,PLAINE DES SPORTS,19.385460121,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,CONDILLAC - UNIVERSITES,30.943812883600007,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),CONDILLAC - UNIVERSITES,241.77358095949975,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,CONDILLAC - UNIVERSITES,16.9642521705,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,CONDILLAC - UNIVERSITES,192.66937079070013,ALL,ALL,ALL,tram-b
GABRIEL FAURE,CONDILLAC - UNIVERSITES,178.20158954799996,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,CONDILLAC - UNIVERSITES,558.0614544063993,ALL,ALL,ALL,tram-b
GRAND SABLON,CONDILLAC - UNIVERSITES,184.27745927959992,ALL,ALL,ALL,tram-b
MICHALLON,CONDILLAC - UNIVERSITES,117.33301767680004,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,CONDILLAC - UNIVERSITES,94.13236507050003,ALL,ALL,ALL,tram-b
ILE VERTE,CONDILLAC - UNIVERSITES,169.56887986819999,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,CONDILLAC - UNIVERSITES,226.56802486289982,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,CONDILLAC - UNIVERSITES,122.29254543509995,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,CONDILLAC - UNIVERSITES,269.0790833975,ALL,ALL,ALL,tram-b
VICTOR HUGO,CONDILLAC - UNIVERSITES,241.3269957943002,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,CONDILLAC - UNIVERSITES,463.8279241216007,ALL,ALL,ALL,tram-b
GARES,CONDILLAC - UNIVERSITES,227.7994792001998,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),CONDILLAC - UNIVERSITES,222.53015890100002,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,CONDILLAC - UNIVERSITES,63.4924014033,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,CONDILLAC - UNIVERSITES,37.7242971448,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,CONDILLAC - UNIVERSITES,62.053077189,ALL,ALL,ALL,tram-b
PRESQU'ILE,CONDILLAC - UNIVERSITES,29.966506932299996,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,GABRIEL FAURE,14.1361297824,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),GABRIEL FAURE,184.4517184168998,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,GABRIEL FAURE,37.3665828521,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,GABRIEL FAURE,150.55168247549994,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,GABRIEL FAURE,72.22718123509998,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,GABRIEL FAURE,119.03931767739999,ALL,ALL,ALL,tram-b
GRAND SABLON,GABRIEL FAURE,154.34626565959996,ALL,ALL,ALL,tram-b
MICHALLON,GABRIEL FAURE,120.80293375340004,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,GABRIEL FAURE,134.82872420680002,ALL,ALL,ALL,tram-b
ILE VERTE,GABRIEL FAURE,144.99264981880006,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,GABRIEL FAURE,196.22095984250004,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,GABRIEL FAURE,207.46344984120003,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,GABRIEL FAURE,279.93179679850005,ALL,ALL,ALL,tram-b
VICTOR HUGO,GABRIEL FAURE,283.89431646130026,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,GABRIEL FAURE,425.44082150180014,ALL,ALL,ALL,tram-b
GARES,GABRIEL FAURE,230.66910307739997,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),GABRIEL FAURE,277.4673770982999,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,GABRIEL FAURE,109.40183438049998,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,GABRIEL FAURE,99.66282843669998,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,GABRIEL FAURE,62.8631127351,ALL,ALL,ALL,tram-b
PRESQU'ILE,GABRIEL FAURE,37.473068129999994,ALL,ALL,ALL,tram-b
