up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
GRAND PRE,PERI - BROSSOLETTE,0.0,ALL,ALL,ALL,tram-c
MAS DES ILES,PERI - BROSSOLETTE,0.0,ALL,ALL,ALL,tram-c
LE PRISME,PERI - BROSSOLETTE,12.023936054,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,FLANDRIN - VALMY,182.0087549965001,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,FLANDRIN - VALMY,356.4910538192001,ALL,ALL,ALL,tram-c
GABRIEL FAURE,FLANDRIN - VALMY,243.49748206920003,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,FLANDRIN - VALMY,210.12046078790007,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,FLANDRIN - VALMY,89.31645168690001,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,FLANDRIN - VALMY,35.242547711499995,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),FLANDRIN - VALMY,70.47341767809999,ALL,ALL,ALL,tram-c
CHAVANT,FLANDRIN - VALMY,542.5593762324992,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,FLANDRIN - VALMY,90.5352818061,ALL,ALL,ALL,tram-c
FOCH - FERRIE,FLANDRIN - VALMY,178.8231264756,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,FLANDRIN - VALMY,288.3713666428996,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,FLANDRIN - VALMY,46.8503104314,ALL,ALL,ALL,tram-c
