up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
ARISTIDE BERGES,LOUIS MAISONNAT,37.2544600496,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,LOUIS MAISONNAT,5.4006024773000005,ALL,ALL,ALL,ligne-19
MURAILLES,LOUIS MAISONNAT,15.9783402893,ALL,ALL,ALL,ligne-19
BELVEDERE,LOUIS MAISONNAT,16.259330527799996,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,LOUIS MAISONNAT,6.5544249923999995,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),LOUIS MAISONNAT,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,JULES GUESDE,0.0,ALL,ALL,ALL,ligne-19
LE GUA,JULES GUESDE,0.0,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,JULES GUESDE,0.98796,ALL,ALL,ALL,ligne-19
TREFFORINE,JULES GUESDE,4.3183616948,ALL,ALL,ALL,ligne-19
PRE FLEURY,JULES GUESDE,4.8176387153,ALL,ALL,ALL,ligne-19
LES PIES,JULES GUESDE,2.9633949927,ALL,ALL,ALL,ligne-19
LA POYA,JULES GUESDE,17.0387366303,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,JULES GUESDE,5.2990581818,ALL,ALL,ALL,ligne-19
RUE DES ALPES,JULES GUESDE,42.0697190713,ALL,ALL,ALL,ligne-19
MARAT,JULES GUESDE,1.09211142,ALL,ALL,ALL,ligne-19
LES ECRINS,JULES GUESDE,2.96388,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,JULES GUESDE,1.725376426,ALL,ALL,ALL,ligne-19
RUE PASTEUR,JULES GUESDE,6.9862885714,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,JULES GUESDE,2.5139257007999998,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,JULES GUESDE,40.47801766960001,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,JULES GUESDE,5.2772373550000005,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,JULES GUESDE,13.384249150399999,ALL,ALL,ALL,ligne-19
MURAILLES,JULES GUESDE,3.4343371428,ALL,ALL,ALL,ligne-19
BELVEDERE,JULES GUESDE,3.082838449,ALL,ALL,ALL,ligne-19
