up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
ODYSSEE,MALLIFAUD,10.7289309026,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,MALLIFAUD,4.7713235116,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,MALLIFAUD,7.0106372598,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,MALLIFAUD,11.1163585555,ALL,ALL,ALL,ligne-c4
JEAN RACINE,MALLIFAUD,0.0,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),MALLIFAUD,25.968080957500003,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,MALLIFAUD,18.7491719334,ALL,ALL,ALL,ligne-c4
PONSARD,MALLIFAUD,21.907996634600003,ALL,ALL,ALL,ligne-c4
BAJATIERE,MALLIFAUD,10.593750114,ALL,ALL,ALL,ligne-c4
DRIANT,MALLIFAUD,0.0,ALL,ALL,ALL,ligne-c4
CHAVANT,MALLIFAUD,30.438894356,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,MALLIFAUD,8.8768391011,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,MALLIFAUD,28.54126125799999,ALL,ALL,ALL,ligne-c4
LE VERDERET,DOCTEUR MARTIN,19.011780596399998,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),DOCTEUR MARTIN,22.231329497399997,ALL,ALL,ALL,ligne-c4
LES JAVAUX,DOCTEUR MARTIN,14.168651540299999,ALL,ALL,ALL,ligne-c4
ODYSSEE,DOCTEUR MARTIN,40.0080381417,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,DOCTEUR MARTIN,22.810114298400002,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,DOCTEUR MARTIN,8.2512745555,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,DOCTEUR MARTIN,35.5572818308,ALL,ALL,ALL,ligne-c4
JEAN RACINE,DOCTEUR MARTIN,16.307130072400003,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),DOCTEUR MARTIN,46.7124710663,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,DOCTEUR MARTIN,66.258826993,ALL,ALL,ALL,ligne-c4
PONSARD,DOCTEUR MARTIN,30.814680905700005,ALL,ALL,ALL,ligne-c4
BAJATIERE,DOCTEUR MARTIN,7.741420008,ALL,ALL,ALL,ligne-c4
MALLIFAUD,DOCTEUR MARTIN,25.9306629254,ALL,ALL,ALL,ligne-c4
DRIANT,DOCTEUR MARTIN,0.0,ALL,ALL,ALL,ligne-c4
CHAVANT,DOCTEUR MARTIN,13.675625590900001,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,DOCTEUR MARTIN,5.524864411799999,ALL,ALL,ALL,ligne-c4
LE VERDERET,TEISSEIRE (GRENOBLE),15.3858380909,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),TEISSEIRE (GRENOBLE),16.5534944119,ALL,ALL,ALL,ligne-c4
LES JAVAUX,TEISSEIRE (GRENOBLE),18.808023291799998,ALL,ALL,ALL,ligne-c4
ODYSSEE,TEISSEIRE (GRENOBLE),33.897725004899996,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,TEISSEIRE (GRENOBLE),17.5587345184,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,TEISSEIRE (GRENOBLE),58.216335963400006,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,TEISSEIRE (GRENOBLE),108.25674636069999,ALL,ALL,ALL,ligne-c4
JEAN RACINE,TEISSEIRE (GRENOBLE),3.8216786032,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,TEISSEIRE (GRENOBLE),3.6852914794,ALL,ALL,ALL,ligne-c4
PONSARD,TEISSEIRE (GRENOBLE),28.7378193247,ALL,ALL,ALL,ligne-c4
BAJATIERE,TEISSEIRE (GRENOBLE),2.428735,ALL,ALL,ALL,ligne-c4
MALLIFAUD,TEISSEIRE (GRENOBLE),17.4994339525,ALL,ALL,ALL,ligne-c4
DRIANT,TEISSEIRE (GRENOBLE),31.947020916,ALL,ALL,ALL,ligne-c4
CHAVANT,TEISSEIRE (GRENOBLE),173.5147552759001,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,TEISSEIRE (GRENOBLE),32.734793504399995,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,TEISSEIRE (GRENOBLE),198.32264245919998,ALL,ALL,ALL,ligne-c4
LE VERDERET,LE BOURG (EYBENS),1.8114415965,ALL,ALL,ALL,ligne-c4
LES JAVAUX,LE BOURG (EYBENS),0.0,ALL,ALL,ALL,ligne-c4
ODYSSEE,LE BOURG (EYBENS),32.6433486677,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,LE BOURG (EYBENS),18.627988318099998,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,LE BOURG (EYBENS),22.8469316201,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,LE BOURG (EYBENS),44.70537278060001,ALL,ALL,ALL,ligne-c4
JEAN RACINE,LE BOURG (EYBENS),0.0,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),LE BOURG (EYBENS),10.1070314794,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,LE BOURG (EYBENS),31.3144576472,ALL,ALL,ALL,ligne-c4
PONSARD,LE BOURG (EYBENS),27.483250909,ALL,ALL,ALL,ligne-c4
BAJATIERE,LE BOURG (EYBENS),0.0,ALL,ALL,ALL,ligne-c4
MALLIFAUD,LE BOURG (EYBENS),10.444148571,ALL,ALL,ALL,ligne-c4
DRIANT,LE BOURG (EYBENS),12.5445517078,ALL,ALL,ALL,ligne-c4
CHAVANT,LE BOURG (EYBENS),79.28255786749996,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,LE BOURG (EYBENS),11.4909455797,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,LE BOURG (EYBENS),80.318927428,ALL,ALL,ALL,ligne-c4
LE VERDERET,MAISONS NEUVES,17.658900224099998,S1,ALL,ALL,ligne-c4
LE BOURG (EYBENS),MAISONS NEUVES,31.272911010499996,S1,ALL,ALL,ligne-c4
LES JAVAUX,MAISONS NEUVES,10.132556040699999,S1,ALL,ALL,ligne-c4
ODYSSEE,MAISONS NEUVES,58.60958110409999,S1,ALL,ALL,ligne-c4
VAL D'EYBENS,MAISONS NEUVES,4.4675938932,S1,ALL,ALL,ligne-c4
GENERAL DE GAULLE,MAISONS NEUVES,2.8598842105,S1,ALL,ALL,ligne-c4
JEAN RACINE,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
PAUL CLAUDEL,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
PONSARD,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
BAJATIERE,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
MALLIFAUD,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
DRIANT,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
CHAVANT,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
DOCTEUR MARTIN,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
VICTOR HUGO,MAISONS NEUVES,0.0,S1,ALL,ALL,ligne-c4
LE VERDERET,GENERAL DE GAULLE,11.0062221196,S1,ALL,ALL,ligne-c4
LE BOURG (EYBENS),GENERAL DE GAULLE,16.725574265,S1,ALL,ALL,ligne-c4
LES JAVAUX,GENERAL DE GAULLE,13.504138598800001,S1,ALL,ALL,ligne-c4
ODYSSEE,GENERAL DE GAULLE,18.0749375237,S1,ALL,ALL,ligne-c4
VAL D'EYBENS,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
MAISONS NEUVES,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
JEAN RACINE,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
PAUL CLAUDEL,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
PONSARD,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
BAJATIERE,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
MALLIFAUD,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
DRIANT,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
CHAVANT,GENERAL DE GAULLE,0.0,S1,ALL,ALL,ligne-c4
